For P=1, and Q=1 ,QUEUESIZE=10 the mean waiting-time is : 5.795800 usec 
 For P=1, and Q=2 ,QUEUESIZE=10 the mean waiting-time is : 3.032880 usec 
 For P=1, and Q=4 ,QUEUESIZE=10 the mean waiting-time is : 1.855400 usec 
 For P=1, and Q=8 ,QUEUESIZE=10 the mean waiting-time is : 1.537260 usec 
 For P=1, and Q=16 ,QUEUESIZE=10 the mean waiting-time is : 1.433840 usec 
 For P=1, and Q=32 ,QUEUESIZE=10 the mean waiting-time is : 1.425980 usec 
 For P=1, and Q=64 ,QUEUESIZE=10 the mean waiting-time is : 1.376020 usec 
 For P=1, and Q=128 ,QUEUESIZE=10 the mean waiting-time is : 1.405020 usec 
 For P=1, and Q=256 ,QUEUESIZE=10 the mean waiting-time is : 1.390760 usec 
 For P=2, and Q=1 ,QUEUESIZE=10 the mean waiting-time is : 41.604920 usec 
 For P=2, and Q=2 ,QUEUESIZE=10 the mean waiting-time is : 9.424950 usec 
 For P=2, and Q=4 ,QUEUESIZE=10 the mean waiting-time is : 2.161740 usec 
 For P=2, and Q=8 ,QUEUESIZE=10 the mean waiting-time is : 1.522730 usec 
 For P=2, and Q=16 ,QUEUESIZE=10 the mean waiting-time is : 1.532600 usec 
 For P=2, and Q=32 ,QUEUESIZE=10 the mean waiting-time is : 1.473960 usec 
 For P=2, and Q=64 ,QUEUESIZE=10 the mean waiting-time is : 1.507620 usec 
 For P=2, and Q=128 ,QUEUESIZE=10 the mean waiting-time is : 1.529840 usec 
 For P=2, and Q=256 ,QUEUESIZE=10 the mean waiting-time is : 1.518720 usec 
 For P=4, and Q=1 ,QUEUESIZE=10 the mean waiting-time is : 36.193245 usec 
 For P=4, and Q=2 ,QUEUESIZE=10 the mean waiting-time is : 21.041220 usec 
 For P=4, and Q=4 ,QUEUESIZE=10 the mean waiting-time is : 10.694980 usec 
 For P=4, and Q=8 ,QUEUESIZE=10 the mean waiting-time is : 1.937160 usec 
 For P=4, and Q=16 ,QUEUESIZE=10 the mean waiting-time is : 1.834145 usec 
 For P=4, and Q=32 ,QUEUESIZE=10 the mean waiting-time is : 1.781790 usec 
 For P=4, and Q=64 ,QUEUESIZE=10 the mean waiting-time is : 1.701505 usec 
 For P=4, and Q=128 ,QUEUESIZE=10 the mean waiting-time is : 1.690515 usec 
 For P=4, and Q=256 ,QUEUESIZE=10 the mean waiting-time is : 1.713510 usec 
 For P=8, and Q=1 ,QUEUESIZE=10 the mean waiting-time is : 30.530628 usec 
 For P=8, and Q=2 ,QUEUESIZE=10 the mean waiting-time is : 31.110560 usec 
 For P=8, and Q=4 ,QUEUESIZE=10 the mean waiting-time is : 32.876425 usec 
 For P=8, and Q=8 ,QUEUESIZE=10 the mean waiting-time is : 8.968023 usec 
 For P=8, and Q=16 ,QUEUESIZE=10 the mean waiting-time is : 3.323615 usec 
 For P=8, and Q=32 ,QUEUESIZE=10 the mean waiting-time is : 1.934013 usec 
 For P=8, and Q=64 ,QUEUESIZE=10 the mean waiting-time is : 1.987620 usec 
 For P=8, and Q=128 ,QUEUESIZE=10 the mean waiting-time is : 1.994210 usec 
 For P=8, and Q=256 ,QUEUESIZE=10 the mean waiting-time is : 2.060777 usec 
 For P=16, and Q=1 ,QUEUESIZE=10 the mean waiting-time is : 28.879748 usec 
 For P=16, and Q=2 ,QUEUESIZE=10 the mean waiting-time is : 26.630946 usec 
 For P=16, and Q=4 ,QUEUESIZE=10 the mean waiting-time is : 25.750250 usec 
 For P=16, and Q=8 ,QUEUESIZE=10 the mean waiting-time is : 10.780060 usec 
 For P=16, and Q=16 ,QUEUESIZE=10 the mean waiting-time is : 5.325643 usec 
 For P=16, and Q=32 ,QUEUESIZE=10 the mean waiting-time is : 1.168432 usec 
 For P=16, and Q=64 ,QUEUESIZE=10 the mean waiting-time is : 1.230484 usec 
 For P=16, and Q=128 ,QUEUESIZE=10 the mean waiting-time is : 1.320435 usec 
 For P=16, and Q=256 ,QUEUESIZE=10 the mean waiting-time is : 1.349479 usec 
 For P=32, and Q=1 ,QUEUESIZE=10 the mean waiting-time is : 16.725566 usec 
 For P=32, and Q=2 ,QUEUESIZE=10 the mean waiting-time is : 14.322467 usec 
 For P=32, and Q=4 ,QUEUESIZE=10 the mean waiting-time is : 14.326376 usec 
 For P=32, and Q=8 ,QUEUESIZE=10 the mean waiting-time is : 14.557890 usec 
 For P=32, and Q=16 ,QUEUESIZE=10 the mean waiting-time is : 12.397382 usec 
 For P=32, and Q=32 ,QUEUESIZE=10 the mean waiting-time is : 8.891358 usec 
 For P=32, and Q=64 ,QUEUESIZE=10 the mean waiting-time is : 1.311868 usec 
 For P=32, and Q=128 ,QUEUESIZE=10 the mean waiting-time is : 7.276517 usec 
 For P=32, and Q=256 ,QUEUESIZE=10 the mean waiting-time is : 2.519464 usec 
 For P=64, and Q=1 ,QUEUESIZE=10 the mean waiting-time is : 16.270461 usec 
 For P=64, and Q=2 ,QUEUESIZE=10 the mean waiting-time is : 13.589526 usec 
 For P=64, and Q=4 ,QUEUESIZE=10 the mean waiting-time is : 13.287896 usec 
 For P=64, and Q=8 ,QUEUESIZE=10 the mean waiting-time is : 13.305155 usec 
 For P=64, and Q=16 ,QUEUESIZE=10 the mean waiting-time is : 13.224769 usec 
 For P=64, and Q=32 ,QUEUESIZE=10 the mean waiting-time is : 5.017229 usec 
 For P=64, and Q=64 ,QUEUESIZE=10 the mean waiting-time is : 5.019122 usec 
 For P=64, and Q=128 ,QUEUESIZE=10 the mean waiting-time is : 8.086243 usec 
 For P=64, and Q=256 ,QUEUESIZE=10 the mean waiting-time is : 9.120304 usec 
 
