For P=1, and Q=1 ,QUEUESIZE=1000 the mean waiting-time is : 1068.804520 usec 
 For P=1, and Q=2 ,QUEUESIZE=1000 the mean waiting-time is : 351.719600 usec 
 For P=1, and Q=4 ,QUEUESIZE=1000 the mean waiting-time is : 1.959620 usec 
 For P=1, and Q=8 ,QUEUESIZE=1000 the mean waiting-time is : 1.563940 usec 
 For P=1, and Q=16 ,QUEUESIZE=1000 the mean waiting-time is : 1.475180 usec 
 For P=1, and Q=32 ,QUEUESIZE=1000 the mean waiting-time is : 1.441060 usec 
 For P=1, and Q=64 ,QUEUESIZE=1000 the mean waiting-time is : 1.528140 usec 
 For P=1, and Q=128 ,QUEUESIZE=1000 the mean waiting-time is : 1.437980 usec 
 For P=1, and Q=256 ,QUEUESIZE=1000 the mean waiting-time is : 1.429720 usec 
 For P=2, and Q=1 ,QUEUESIZE=1000 the mean waiting-time is : 1650.722790 usec 
 For P=2, and Q=2 ,QUEUESIZE=1000 the mean waiting-time is : 271.886960 usec 
 For P=2, and Q=4 ,QUEUESIZE=1000 the mean waiting-time is : 2.646720 usec 
 For P=2, and Q=8 ,QUEUESIZE=1000 the mean waiting-time is : 1.610150 usec 
 For P=2, and Q=16 ,QUEUESIZE=1000 the mean waiting-time is : 1.598280 usec 
 For P=2, and Q=32 ,QUEUESIZE=1000 the mean waiting-time is : 1.570430 usec 
 For P=2, and Q=64 ,QUEUESIZE=1000 the mean waiting-time is : 1.567030 usec 
 For P=2, and Q=128 ,QUEUESIZE=1000 the mean waiting-time is : 1.564670 usec 
 For P=2, and Q=256 ,QUEUESIZE=1000 the mean waiting-time is : 1.530950 usec 
 For P=4, and Q=1 ,QUEUESIZE=1000 the mean waiting-time is : 3583.210050 usec 
 For P=4, and Q=2 ,QUEUESIZE=1000 the mean waiting-time is : 2291.271770 usec 
 For P=4, and Q=4 ,QUEUESIZE=1000 the mean waiting-time is : 14.714340 usec 
 For P=4, and Q=8 ,QUEUESIZE=1000 the mean waiting-time is : 1.838900 usec 
 For P=4, and Q=16 ,QUEUESIZE=1000 the mean waiting-time is : 1.900670 usec 
 For P=4, and Q=32 ,QUEUESIZE=1000 the mean waiting-time is : 1.825220 usec 
 For P=4, and Q=64 ,QUEUESIZE=1000 the mean waiting-time is : 1.781970 usec 
 For P=4, and Q=128 ,QUEUESIZE=1000 the mean waiting-time is : 1.793530 usec 
 For P=4, and Q=256 ,QUEUESIZE=1000 the mean waiting-time is : 1.746450 usec 
 For P=8, and Q=1 ,QUEUESIZE=1000 the mean waiting-time is : 3175.765070 usec 
 For P=8, and Q=2 ,QUEUESIZE=1000 the mean waiting-time is : 3285.484695 usec 
 For P=8, and Q=4 ,QUEUESIZE=1000 the mean waiting-time is : 3515.961798 usec 
